Topic,Description,Tags,date,author
"Jaeger, long-tailed","Ultrasound Therapy of Head and Neck Vessels, Single",Stercorarius;longicausus,6/30/2021,Susie Seleway
Mountain lion,"Repair Left Pelvic Bone, Open Approach",Felis;concolor,10/18/2021,Justinn Kelloway
Crown of thorns starfish,"Insertion of Spacer into Lumbosacral Joint, Open Approach",Acanthaster;planci,2/15/2022,Lillis Syphas
"Goldeneye, common","Revision of Synthetic Substitute in L Eye, Extern Approach",Bucephala;clangula,8/7/2021,Hy Vassall
Great egret,"Excision of Right Lower Leg, Perc Endo Approach, Diagn",Casmerodius;albus,7/5/2021,Lorain Kelsey
"Boar, wild","Revision of Drainage Device in Gallbladder, Perc Approach",Sus;scrofa,1/1/2022,Olivette Hornung
"Squirrel, arctic ground","Bypass Pancreat Duct to Sm Int w Intralum Dev, Perc Endo",Spermophilus;parryii,4/27/2021,Berte Commander
"Phascogale, red-tailed","Supplement Right Frontal Bone with Autol Sub, Open Approach",Phascogale;calura,8/6/2021,Adrian Syplus
Giraffe,"Release Right Zygomatic Bone, Percutaneous Approach",Giraffe;camelopardalis,8/27/2021,Cosimo Cruces
Eastern boa constrictor,"Revision of Radioactive Element in GI Tract, Perc Approach",Acrantophis;madagascariensis,8/26/2021,Harlin Duester
"Wallaby, tammar","Excision of Ampulla of Vater, Perc Endo Approach, Diagn",Macropus;eugenii,10/23/2021,Hobart Danbi
American alligator,"Repair Left Internal Mammary Lymphatic, Open Approach",Alligator;mississippiensis,11/5/2021,Walton Drawmer
Bennett's wallaby,"Fusion Thor Jt w Nonaut Sub, Ant Appr A Col, Perc",Macropus;rufogriseus,5/26/2021,Sarena Braxton
"Magpie, australian","Removal of Intbd Fus Dev from Lumsac Jt, Open Approach",Gymnorhina;tibicen,11/29/2021,Zacharie Crankshaw
"Rattlesnake, dusky","Replacement of L Temporal Art with Synth Sub, Open Approach",Crotalus;triseriatus,4/6/2022,Rickert Alvarado
Knob-nosed goose,"Dilation of Left Internal Jugular Vein, Perc Endo Approach",Sarkidornis;melanotos,5/21/2021,Candie Peirpoint
"Monkey, bleeding heart","Supplement Epiglottis with Autol Sub, Via Opening",Theropithecus;gelada,12/1/2021,Stacee Ewbanche
"Chipmunk, least","Endocrine System, Drainage",Eutamias;minimus,2/5/2022,Sena Scalera
"Rhea, greater","Resection of Pericardium, Percutaneous Approach",Rhea;americana,5/11/2021,Daphna Jahner
"Woodpecker, downy","Drainage of Inferior Mesenteric Artery, Open Approach",Picoides;pubescens,9/1/2021,Mimi Hawse
"Dragon, komodo","Drainage of Gastric Vein, Percutaneous Endoscopic Approach",Varanus;komodensis,6/2/2021,Jay Bellocht
"Bear, polar","Introduction of Other Gas into Pericard Cav, Via Opening",Ursus;maritimus,11/17/2021,Patty Alltimes
"Spoonbill, european",Caregiver Training in Gait Training/Ambulat using Orthosis,Platalea;leucordia,5/4/2021,Cherise Ick
Red-knobbed coot,"Supplement R Up Extrem with Synth Sub, Perc Endo Approach",Fulica;cristata,2/15/2022,Raff Cunliffe
"White-eye, pale","Restriction of Left Upper Extremity Lymphatic, Perc Approach",Zosterops;pallidus,3/26/2022,Eb Novacek
Two-banded monitor,"Destruction of Middle Esophagus, Perc Endo Approach",Varanus;salvator,12/18/2021,Minnaminnie Severy
"Lemur, sportive","Release Esophagogastric Junction, Perc Endo Approach",Lepilemur;rufescens,12/5/2021,Joletta Baumler
Great horned owl,"Excision of Bi Adrenal Gland, Perc Endo Approach, Diagn",Bubo;virginianus,2/25/2022,Bev Lansly
Ring-tailed lemur,Ultrasonography of Appendix,Lemur;catta,5/27/2021,Afton Thrower
"Egret, snowy","Inspection of Trachea, Endo",Egretta;thula,9/13/2021,Aindrea Drury
"Kangaroo, eastern grey","Replace of L Hand Tendon with Autol Sub, Perc Endo Approach",Macropus;giganteus,9/22/2021,Fay Everwin
Blue-tongued skink,"Reposition Left Mandible, External Approach",Tiliqua;scincoides,6/10/2021,Velma Leathes
"Fox, north american red","Repair Right Metacarpal, Open Approach",Vulpes;vulpes,11/30/2021,Lavena Wildsmith
"Oystercatcher, blackish","Dilation of Right Lacrimal Duct with Intralum Dev, Endo",Haematopus;ater,10/16/2021,Johnny Challen
Huron,"Release Right Lower Femur, Percutaneous Endoscopic Approach",Galictis;vittata,11/30/2021,Myriam Shoreman
"Bat, madagascar fruit","Transfer R Up Leg Subcu/Fascia, Perc Approach",Pteropus;rufus,5/20/2021,Ruthanne Bohden
Black-footed ferret,MRI of Liver & Spleen using Oth Contrast,Mustela;nigripes,11/17/2021,Bronny Minney
"Marten, american","Fusion of Left Tarsal Joint with Ext Fix, Perc Approach",Martes;americana,10/12/2021,Martina Dearlove
Mountain lion,"Removal of Infusion Device from L Hip Jt, Perc Approach",Felis;concolor,9/29/2021,Abey Sherburn
Weeper capuchin,HDR Brachytherapy of Axilla Lymph using Palladium 103,Cebus;nigrivittatus,8/22/2021,Ferdinand Coultard
"Gazelle, thomson's","Reposition Left Metacarpal with Ext Fix, Perc Endo Approach",Gazella;thompsonii,2/25/2022,Tildi Ondra
"Armadillo, common long-nosed","Release Lower Lip, External Approach",Dasypus;novemcinctus,6/7/2021,Amalea Rouse
Brolga crane,"Drainage of R Hip Tendon with Drain Dev, Perc Endo Approach",Grus;rubicundus,2/28/2022,Garv Cordero
Helmeted guinea fowl,"Extirpation of Matter from Cranial Cavity, Open Approach",Numida;meleagris,4/27/2021,Alasteir Choppen
Golden eagle,"Dilation of Bladder with Intraluminal Device, Via Opening",Aquila;chrysaetos,5/10/2021,Kaitlynn Grinov
"Civet, common palm",Change Cast on Right Lower Leg,Paradoxurus;hermaphroditus,12/24/2021,Simeon Mowday
Eastern dwarf mongoose,"Release Right Thorax Bursa and Ligament, External Approach",Helogale;undulata,3/3/2022,Demetra Blitzer
Hawk-headed parrot,"Removal of Nonaut Sub from R Metatarsal, Open Approach",Deroptyus;accipitrinus,5/2/2021,Guenevere Borland
Magnificent frigate bird,"Repair Lumbar Sympathetic Nerve, Perc Endo Approach",Fregata;magnificans,1/18/2022,Teresina De Cruz
Great white pelican,"Resection of Right Spermatic Cord, Perc Endo Approach",Pelecans;onocratalus,6/16/2021,Rosaline Jeratt
Coqui partridge,"Replacement of L Subclav Art with Nonaut Sub, Open Approach",Francolinus;coqui,4/24/2021,Perren Verrechia
Brolga crane,"Drainage of Bladder Neck, Open Approach, Diagnostic",Grus;rubicundus,12/9/2021,Craggie Gomme
Indian mynah,"Extirpate matter from R Low Arm & Wrist Tendon, Perc Endo",Acridotheres;tristis,6/23/2021,Jolee Kibblewhite
"Barbet, black-collared","Excision of Abdominal Wall, External Approach",Lybius;torquatus,5/25/2021,Elora Campagne
"Booby, masked","Dilation of Up Art, Bifurc, with 3 Drug-elut, Open Approach",Sula;dactylatra,5/17/2021,Wilek Gianni
African red-eyed bulbul,"Insertion of Ring Ext Fix into R Ulna, Perc Endo Approach",Pycnonotus;nigricans,6/17/2021,Efrem Balentyne
"Leopard, indian",CT Scan of R Femur using L Osm Contrast,Panthera;pardus,3/18/2022,Edd Blaksland
Square-lipped rhinoceros,"Extirpation of Matter from L Up Lung Lobe, Open Approach",Ceratotherium;simum,5/16/2021,Conchita Heathwood
Vicuna,"Occlusion L Verteb Art w Bioact Intralum, Perc Endo",Vicugna;vicugna,10/13/2021,Orelia Noriega
Black rhinoceros,"Insertion of Monitoring Device into Urethra, Perc Approach",Diceros;bicornis,1/28/2022,Blisse Najera
Emu,Caregiver Training in Wheelchair Mobility,Dromaeus;novaehollandiae,4/9/2022,Christalle Davis
Southern hairy-nosed wombat,Fluoroscopy of Sacrum and Coccyx using High Osmolar Contrast,Lasiorhinus;latifrons,12/19/2021,Nessie Fargie
Red hartebeest,"Drainage of Clitoris, External Approach, Diagnostic",Alcelaphus;buselaphus;caama,1/14/2022,Thacher Schafer
"Porcupine, prehensile-tailed","Drainage of R Hand Bursa/Lig with Drain Dev, Open Approach",Coendou;prehensilis,2/5/2022,Ciro McLaughlan
Bushpig,"Bypass 4+ Cor Art from R Int Mammary w Nonaut Sub, Perc Endo",Potamochoerus;porcus,8/21/2021,Dido Mc Ilory
Gulls (unidentified),"Occlusion of Cul-de-sac with Intraluminal Device, Endo",Larus;sp.,6/30/2021,Jarret Cobbe
Southern white-crowned shrike,"Revision of Ext Fix in L Metatarsophal Jt, Perc Approach",Eurocephalus;anguitimens,8/20/2021,Sara Royl
"Fox, silver-backed","Removal of Infusion Device from L Low Extrem, Open Approach",Vulpes;chama,3/31/2022,Mikol Dixcey
White-fronted capuchin,MRI of Bi Pelvic Vein using Oth Contrast,Cebus;albifrons,4/1/2022,Addie Verheijden
"Jackal, asiatic","Drainage of Left Temporal Bone with Drain Dev, Perc Approach",Canis;aureus,1/2/2022,Vilhelmina Maddin
Eurasian red squirrel,"Repair Right Palatine Bone, Percutaneous Approach",Sciurus;vulgaris,3/25/2022,Hilliard Batkin
Capybara,"Bypass Splenic Vein to L Renal Vein w Autol Art, Open",Hydrochoerus;hydrochaeris,8/14/2021,Blithe Burkitt
Black kite,"Excision of Ileocecal Valve, Endo, Diagn",Milvus;migrans,2/14/2022,Cassandre Harkess
"Dog, raccoon","Extirpation of Matter from R Elbow Bursa/Lig, Open Approach",Nyctereutes;procyonoides,6/23/2021,Rheba Harrhy
"Jackal, golden","Dilate R Com Carotid, Bifurc, w 4 Drug-elut, Perc Endo",Canis;aureus,2/6/2022,Barnabe Doore
"Stork, openbill","Excision of Right Parotid Duct, Open Approach",Anastomus;oscitans,6/8/2021,Amelie O' Clovan
Southern elephant seal,"Insertion of Int Fix into R Glenoid Cav, Perc Approach",Mirounga;leonina,4/30/2021,Ros Zanuciolii
"Sunbird, lesser double-collared","Drainage of Vulva with Drainage Device, Open Approach",Nectarinia;chalybea,3/1/2022,Tony Mebs
"Wapiti, elk,",Plain Radiography of R Int Carotid using L Osm Contrast,Cervus;canadensis,9/9/2021,Saxe Robbeke
"Starfish, crown of thorns","Introduction of Anti-inflammatory into Subcu, Perc Approach",Acanthaster;planci,2/8/2022,Blair Lamas
American bighorn sheep,"Reposition Left Palatine Bone, External Approach",Ovis;canadensis,5/21/2021,Carmela Higford
Woolly-necked stork,"Bypass Abd Aorta to B Ext Ilia w Nonaut Sub, Open",Ciconia;episcopus,12/10/2021,Jamesy Reuven
White-mantled colobus,"Fusion of Left Tarsal Joint with Autol Sub, Perc Approach",Colobus;guerza,7/6/2021,Sheila-kathryn Padillo
"Langur, common","Drainage of Other Fluid from POC, Via Opening",Semnopithecus;entellus,7/2/2021,Almira Mort
"Elephant, asian","Revision of Nonaut Sub in Urethra, Open Approach",Elephas;maximus;bengalensis,10/8/2021,Morgan Nowakowski
"Lemming, arctic",Ultrasonography of Right Jugular Veins,Dicrostonyx;groenlandicus,10/9/2021,Alexander Lymbourne
Olive baboon,"Drainage of Right Lower Extremity, Open Approach, Diagnostic",Papio;cynocephalus,10/1/2021,Nicholle Prior
South African hedgehog,"Extraction of Iliac Bone Marrow, Open Approach, Diagnostic",Erinaceus;frontalis,10/30/2021,Esme Dimont
Wolf spider,"Excision of Urethra, Open Approach, Diagnostic",Lycosa;godeffroyi,10/13/2021,Margit Hazel
Mississippi alligator,"Fusion of Right Toe Phalangeal Joint, Percutaneous Approach",Alligator;mississippiensis,1/3/2022,Binni Buckmaster
Blacksmith plover,"Replace of R Ext Iliac Vein with Autol Sub, Open Approach",Vanellus;armatus,2/17/2022,Goldia McLeary
"Sheathbill, snowy","Revision of Infusion Device in Prostate/Seminal Ves, Endo",Chionis;alba,4/18/2021,Farrand Murricanes
"Crocodile, nile",Beam Radiation of Pleura using Photons <1 MeV,Crocodylus;niloticus,11/16/2021,Donavon Dysert
"Heron, boat-billed","Excision of Left Abdomen Muscle, Open Approach",Cochlearius;cochlearius,10/9/2021,Rickert Scripps
Eastern box turtle,"Reposition Left Eustachian Tube, Perc Endo Approach",Terrapene;carolina,12/25/2021,Calida Rickert
"Bustard, denham's","Bypass Jejunum to Jejunum, Endo",Neotis;denhami,3/23/2022,Gonzalo Vasyutochkin
Bushbuck,"Replace of Pulm Trunk with Nonaut Sub, Perc Endo Approach",Tragelaphus;scriptus,4/12/2022,Sileas Shadbolt
Cattle egret,"Release Left Popliteal Artery, Open Approach",Bubulcus;ibis,5/3/2021,Rebeka Westley
Dama wallaby,"Release Dura Mater, Open Approach",Macropus;eugenii,3/30/2022,Reynold Beer
Red phalarope,"Inspection of Upper Vein, Open Approach",Phalaropus;fulicarius,8/5/2021,Freida Maxted
Long-necked turtle,"Replace of Access Pancr Duct with Synth Sub, Open Approach",Chelodina;longicollis,5/25/2021,Wilfred Maas
"Tortoise, desert","Revision of Nonaut Sub in Uterus & Cervix, Open Approach",Gopherus;agassizii,8/8/2021,Maxie Scrimshaw
Two-toed sloth,"Revision of Intraluminal Device in Stomach, Extern Approach",Choloepus;hoffmani,1/31/2022,Beulah Geillier
Crested bunting,"Destruction of Aortic Body, Percutaneous Approach",Melophus;lathami,9/11/2021,Lars Mussett
"Heron, boat-billed","Bypass Innom Art to L Up Arm Art w Nonaut Sub, Open",Cochlearius;cochlearius,5/8/2021,Drud Gear
"Jackal, asiatic",Plain Radiography of L Low Extrem Lymph using L Osm Contrast,Canis;aureus,7/19/2021,Kizzie Cullingford
Small-spotted genet,"Occlusion of L Peroneal Art with Extralum Dev, Perc Approach",Genetta;genetta,7/3/2021,Ario Jurasek
Crested screamer,"Supplement R Up Arm Tendon with Nonaut Sub, Open Approach",Chauna;torquata,12/27/2021,Charmine Coope
"Pie, rufous tree","Excision of Right Diaphragm, Open Approach, Diagnostic",Dendrocitta;vagabunda,12/9/2021,Kermy Akrigg
Mountain lion,"Removal of Synth Sub from L Elbow Jt, Open Approach",Felis;concolor,12/20/2021,Catherine Smewin
"Crow, house","Revision of Synth Sub in L Knee Jt, Femoral, Open Approach",Corvus;brachyrhynchos,12/25/2021,Ange Dickens
Emerald green tree boa,"Extracorporeal Therapies, Phys Sys, UV Light Therapy",Boa;caninus,11/13/2021,Kincaid Medina
"Squirrel, nelson ground","Removal of Drainage Device from Up Muscle, Extern Approach",Ammospermophilus;nelsoni,11/10/2021,Pippy Brahan
"Zorro, azara's","Drainage of Right Peroneal Artery, Open Approach, Diagnostic",Pseudalopex;gymnocercus,2/28/2022,Jacob Jerzykiewicz
Bald eagle,"Replacement of Left Clavicle with Autol Sub, Perc Approach",Haliaeetus;leucocephalus,9/8/2021,Elihu Tysack
Brown lemur,"Transfuse Allo Unr Bone Marrow in Periph Vein, Open",Lemur;fulvus,3/29/2022,Addie Priddy
"Rhinoceros, square-lipped","Revise of Autol Sub in Cervcal Vertebra, Perc Endo Approach",Ceratotherium;simum,4/17/2021,Dena Ronci
"Wolf, mexican","Resection of Pineal Body, Open Approach",Canis;lupus;baileyi,8/31/2021,Steven Pesticcio
"Vulture, king","Repair Left Buttock, External Approach",Sarcorhamphus;papa,11/13/2021,Lauren Carrick
Curve-billed thrasher,"Introduction of Liquid Brachy into Resp Tract, Endo",Toxostoma;curvirostre,8/5/2021,Vernice Kynastone
"Monkey, black spider","Removal of Extraluminal Device from Up Vein, Open Approach",Ateles;paniscus,9/12/2021,Thaxter MacDearmont
Bahama pintail,"Destruction of Left Cephalic Vein, Perc Endo Approach",Anas;bahamensis,6/24/2021,Annetta Skynner
"Stilt, black-winged","Supplement Uvula with Nonaut Sub, Perc Approach",Himantopus;himantopus,11/13/2021,Annice Jobke
"Dunnart, fat-tailed","Replacement of L Humeral Head with Autol Sub, Perc Approach",Smithopsis;crassicaudata,6/14/2021,Lucho Battlestone
Meerkat,"Insertion of Monitoring Device into Cor Vein, Perc Approach",Suricata;suricatta,10/12/2021,Babara Rodear
Golden eagle,"Removal of Synth Sub from Facial Bone, Perc Approach",Aquila;chrysaetos,6/24/2021,Gilberto Mee
"Dove, white-winged",Fluoroscopy of Vagina using Other Contrast,Zenaida;asiatica,5/31/2021,Karoly Higford
"Bird, secretary","Destruction of Right Temporomandibular Joint, Perc Approach",Sagittarius;serpentarius,4/25/2021,Nelie Soeiro
"Trotter, lily","Occlusion of Urethra with Intralum Dev, Extern Approach",Actophilornis;africanus,11/13/2021,Tani Pointing
"Stork, painted","Dilate R Verteb Art, Bifurc, w Drug-elut Intra, Open",Mycteria;leucocephala,3/14/2022,Thorny Poundsford
Great horned owl,"Introduction of Local Anesthetic into Upper GI, Via Opening",Bubo;virginianus,8/7/2021,Laney McCobb
"Goose, egyptian","Excision of Penis, Percutaneous Endoscopic Approach, Diagn",Alopochen;aegyptiacus,11/6/2021,Emelen Peskin
"White-eye, pale","Supplement L Pulm Vein with Nonaut Sub, Perc Endo Approach",Zosterops;pallidus,11/17/2021,Marleah Foottit
Common melba finch,"Removal of Autol Sub from R Breast, Via Opening",Pytilia;melba,5/12/2021,Carlin Sparke
California sea lion,"Alteration of Post Neck Subcu/Fascia, Open Approach",Zalophus;californicus,4/13/2022,Windy Patchett
Carpet snake,"Insertion of Intralum Dev into L Thyroid Art, Open Approach",Morelia;spilotes;variegata,6/16/2021,Sergent Harwick
Magnificent frigate bird,"Dilate of L Com Iliac Art with 3 Intralum Dev, Open Approach",Fregata;magnificans,4/18/2021,Alard Levine
"Phalarope, grey","Fusion of Occip Jt, Post Appr A Col, Perc Endo Approach",Phalaropus;fulicarius,12/7/2021,Elsy Sadler
Euro wallaby,"Supplement L Brach Art with Autol Sub, Perc Approach",Macropus;robustus,8/15/2021,Eldredge Perone
African snake (unidentified),"Drainage of Perineum Bursa/Lig, Perc Endo Approach, Diagn",unavailable,10/15/2021,Justin Serman
Tiger snake,"Excision of Right Seminal Vesicle, Open Approach",Notechis;semmiannulatus,2/2/2022,Cristian Hanny
Black-backed magpie,Ultrasonography of Right Upper Extremity Arteries,Gymnorhina;tibicen,3/12/2022,Guss Wendover
"Stork, saddle-billed","Release Right Frontal Sinus, Percutaneous Approach",Ephipplorhynchus;senegalensis,7/15/2021,Mellisent Morteo
"Grouse, greater sage","Release Mesenteric Lymphatic, Perc Endo Approach",Centrocercus;urophasianus,10/20/2021,Roberta McDirmid
"Stork, painted","Fragmentation in Right Upper Lobe Bronchus, Extern Approach",Mycteria;leucocephala,2/13/2022,Cassaundra Steljes
Long-crested hawk eagle,"Revision of Nonaut Sub in Face, Perc Approach",Lophoaetus;occipitalis,9/14/2021,Jacques McKiernan
"Dove, laughing","Removal of Intralum Dev from Pancreas, Perc Endo Approach",Streptopelia;senegalensis,2/16/2022,Jermaine Blankett
Asian lion,"Extirpate matter from R Ext Auditory Canal, Extern",Panthera;leo;persica,10/23/2021,Ruby Priver
Lesser mouse lemur,"Extraction of Products of Conception, Other, Via Opening",Microcebus;murinus,2/15/2022,Wilhelmina Whitfield
"Otter, canadian river","Replacement of R Ext Ear with Nonaut Sub, Extern Approach",Lutra;canadensis,9/30/2021,Mona Upex
Sidewinder,"Supplement L Tympanic Membrane with Synth Sub, Via Opening",Crotalus;cerastes,10/26/2021,Ware Heasman
"Starfish, crown of thorns","Supplement Face Artery with Autol Sub, Perc Approach",Acanthaster;planci,7/31/2021,Felicio Isakson
"Hyena, brown","Dilation of Right Main Bronchus, Perc Endo Approach",Hyaena;brunnea,11/15/2021,Sheff Cordero
"Dove, galapagos","Restriction of Carina, Endo",Zenaida;galapagoensis,3/7/2022,Berna Alves
Brown lemur,"Resection of Right Internal Mammary Lymphatic, Open Approach",Lemur;fulvus,7/18/2021,Evelyn Magrannell
Yellow-bellied marmot,"Reposition Perineum Muscle, Open Approach",Marmota;flaviventris,5/22/2021,Farlie Dornan
"Snake, green vine","Introduction of Oth Anti-infect into Joint, Open Approach",Oxybelis;fulgidus,1/12/2022,Coraline Majury
"Badger, american","Occlusion of Asc Colon with Intralum Dev, Perc Endo Approach",Taxidea;taxus,11/7/2021,Calley Doy
"Lion, australian sea","Removal of Radioact Elem from L Low Extrem, Perc Approach",Neophoca;cinerea,6/2/2021,Fonzie Cockland
Steenbuck,"Revision of Int Fix in R Carpal, Perc Endo Approach",Raphicerus;campestris,9/4/2021,Charis Esch
"Hawk, galapagos","Insertion of Intralum Dev into R Ext Carotid, Perc Approach",Buteo;galapagoensis,6/25/2021,Cicely Marchington
Large cormorant,"Drainage of Head Muscle, Percutaneous Endoscopic Approach",Phalacrocorax;carbo,2/22/2022,Gwenette Fawks
Lesser masked weaver,"Supplement Prepuce with Autol Sub, Open Approach",Ploceus;intermedius,12/12/2021,Phelia Jefferson
"Booby, blue-footed","Release Tibial Nerve, Percutaneous Endoscopic Approach",Sula;nebouxii,11/3/2021,Marjy Geerits
"Phalarope, northern","Excision of Female Perineum, External Approach, Diagnostic",Phalaropus;lobatus,2/22/2022,Montgomery Emanuele
Mandras tree shrew,"Supplement Left Orbit with Synth Sub, Perc Endo Approach",Anathana;ellioti,2/16/2022,Daloris Jedrzejczyk
"Bat, asian false vampire","Excision of Left Axillary Vein, Percutaneous Approach, Diagn",Megaderma;spasma,9/30/2021,Trumaine Rosoman
"Fox, grey",Beam Radiation of Testis using Electrons,Vulpes;cinereoargenteus,2/3/2022,Yul Hows
White-lipped peccary,"Excision of Left Sphenoid Bone, Percutaneous Approach",Tayassu;pecari,2/12/2022,Kelcie Malloch
Black-tailed prairie dog,"Drainage of Thor Vertebra with Drain Dev, Perc Endo Approach",Cynomys;ludovicianus,9/24/2021,Michelina Dominy
Dabchick,"Insertion of Infusion Device into Bladder, Open Approach",Tachybaptus;ruficollis,12/1/2021,Nester Gianiello
"Possum, common brushtail","Supplement R Int Carotid with Autol Sub, Perc Endo Approach",Trichosurus;vulpecula,2/21/2022,Alf Lawther
"Dove, little brown","Excision of Right Hip Bursa and Ligament, Perc Approach",Streptopelia;senegalensis,7/22/2021,Ruddy Mucklow
Indian leopard,"Occlusion of R Vas Deferens with Intralum Dev, Open Approach",Panthera;pardus,1/9/2022,Demetri Brammall
Red sheep,Therapeutic Massage of Rectum,Ovis;ammon,8/14/2021,Celestine Gillard
"Marmot, hoary","Bypass R Fem Art to R Femor A with Autol Vn, Open Approach",Marmota;caligata,9/19/2021,Ivar Pettko
Brown hyena,"Excision of Cervical Vertebral Disc, Open Approach, Diagn",Hyaena;brunnea,9/23/2021,Maia Hooban
Great horned owl,"Dilate L Int Iliac Art, Bifurc, w 3 Drug-elut, Perc",Bubo;virginianus,7/21/2021,Cecil Crimp
"Lemur, brown","Revision of Intbd Fus Dev in Cerv Jt, Open Approach",Lemur;fulvus,10/22/2021,Allie Jackalin
Cape starling,"Revision of Autol Sub in Diaphragm, Via Opening",Lamprotornis;nitens,4/7/2022,Maren Vahey
"Pelican, australian","Fragmentation in Accessory Pancreatic Duct, Open Approach",Pelecanus;conspicillatus,12/20/2021,Lettie Kenaway
Ring-tailed gecko,"Revision of Nonaut Sub in Mediastinum, Perc Approach",Cyrtodactylus;louisiadensis,5/22/2021,Jeni Twelves
"Badger, american","Revision of Nonaut Sub in Mesentery, Open Approach",Taxidea;taxus,11/22/2021,Maddie De Meis
"Sheep, american bighorn","Release Left Frontal Sinus, Percutaneous Endoscopic Approach",Ovis;canadensis,10/14/2021,Stirling Conerding
"Duck, mountain","Release Right Pleura, Open Approach",Hymenolaimus;malacorhynchus,7/4/2021,Taddeusz Targett
Ring dove,Synth Sentence Ident Assess w Cochlear Implant Equip,Columba;palumbus,6/26/2021,Fey Nicolson
Asiatic wild ass,Radiography of Renal Art Transplant using H Osm Contrast,Equus;hemionus,12/8/2021,Eleanor Torpie
Monitor lizard (unidentified),"Supplement L Popl Art with Autol Sub, Perc Endo Approach",Varanus;sp.,1/5/2022,Vachel Boodell
Prairie falcon,"Introduction of Oth Diagn Subst into Male Reprod, Endo",Falco;mexicanus,10/24/2021,Karlens Petrollo
Common mynah,"Radiation Therapy, Female Reproductive System, Brachytherapy",Acridotheres;tristis,5/12/2021,Sammy Longstreeth
Hanuman langur,"Removal of Ext Fix from Skull, Perc Endo Approach",Semnopithecus;entellus,1/22/2022,Rubetta Littlecote
"Boa, emerald green tree","Plain Radiography of Whole Spine, Densitometry",Boa;caninus,3/9/2022,Hayley Spinage
Indian jackal,"Bypass R Hepatic Duct to Caud Duct w Intralum Dev, Perc Endo",Canis;aureus,9/20/2021,Willey Foulser
"Squirrel, grey-footed","Fluoroscopy Bi Jugular Vein w L Osm Contrast, Guidance",Paraxerus;cepapi,1/25/2022,Christalle Liles
"Godwit, hudsonian","Excision of Epiglottis, Open Approach",Limosa;haemastica,8/20/2021,Torin Herries
Native cat,"Release Bilateral Lungs, Open Approach",Dasyurus;viverrinus,3/26/2022,Talbert Lesek
Brown lemur,"Removal of Synth Sub from L Sternoclav Jt, Open Approach",Lemur;fulvus,12/30/2021,Elnar Mattersey
"Snake, eastern indigo","Bypass Jejunum to Rectum with Synth Sub, Perc Endo Approach",Drymarchon;corias;couperi,10/20/2021,Susie Swainsbury
Fisher,"Irrigate Bil/Panc Tract w Irrigat, Perc, Diagn",Martes;pennanti,6/13/2021,Lucas Dubber
Burchell's gonolek,"Transfer Glossophar Nrv to Trigem Nrv, Perc Endo Approach",Laniaurius;atrococcineus,2/11/2022,Tina Gerty
"Alligator, mississippi","Extirpation of Matter from L Pelvic Bone, Perc Endo Approach",Alligator;mississippiensis,6/19/2021,Dyann Showers
Rhesus macaque,"Removal of Drainage Device from Right Ear, Endo",Macaca;mulatta,10/18/2021,Jesselyn Wallman
Flying fox (unidentified),"Restrict R Hand Vein w Extralum Dev, Perc Endo",unavailable,6/18/2021,Arleyne Quigley
Hoary marmot,"Drainage of R Femur Shaft with Drain Dev, Open Approach",Marmota;caligata,3/5/2022,Annora Burrill
"Tortoise, radiated","Restriction of Common Bile Duct, Open Approach",Geochelone;radiata,12/4/2021,Dex Napthine
"Bushbaby, large-eared","Reposition Right Colic Artery, Open Approach",Galago;crassicaudataus,3/31/2022,Dulcinea Guwer
"Turtle, eastern box","Fusion of 2-6 C Jt, Post Appr A Col, Perc Endo Approach",Terrapene;carolina,5/26/2021,Javier Illesley
Argalis,Plaque Radiation of Spleen,Ovis;ammon,11/1/2021,Sterne Lydford
Paradoxure,Receptive/Express Lang Assess w Augment Comm Equip,Paradoxurus;hermaphroditus,4/17/2021,Jeramie Truggian
Red brocket,"Insert of Infusion Dev into R Sacroiliac Jt, Open Approach",Mazama;americana,4/3/2022,Esta Wrathmall
Yellow baboon,Plain Radiography of Spinal Cord using High Osmolar Contrast,Papio;cynocephalus,2/26/2022,Oran Karchewski
"Admiral, indian red","Inspection of Lumbosacral Disc, Perc Endo Approach",Vanessa;indica,8/22/2021,Lind Boom
Osprey,"Revise Drain Dev in Up Extrem Subcu/Fascia, Extern",Pandon;haliaetus,2/21/2022,Kerby Astell
White-winged tern,"Removal of Drainage Device from C-thor Jt, Perc Approach",Chlidonias;leucopterus,3/22/2022,Godfry Janman
"Marshbird, brown and yellow","Replacement of R Colic Art with Nonaut Sub, Open Approach",Pseudoleistes;virescens,10/9/2021,Marion Kubes
"Otter, small-clawed","Drainage of R Thorax Muscle with Drain Dev, Open Approach",Aonyx;cinerea,10/23/2021,Etan Clemonts
"Bettong, brush-tailed","Dilate L Renal Art, Bifurc, w 4 Drug-elut, Perc",Bettongia;penicillata,2/11/2022,Christan Jacobsohn
Richardson's ground squirrel,"Insertion of Other Device into Left Upper Leg, Open Approach",Spermophilus;richardsonii,4/4/2022,Quintina Fowlie
Platypus,"Reposition Right Trunk Muscle, Open Approach",Ornithorhynchus;anatinus,5/13/2021,Cynthea Spurett
Tokay gecko,"Dilation of Left Foot Artery with 2 Drug-elut, Perc Approach",Gekko;gecko,7/7/2021,Nikolia Jouhandeau
Potoroo,"Extraction of Right Kidney, Percutaneous Approach",Potorous;tridactylus,12/2/2021,Cherilyn Pettis
